Date;Price;Change %
8/4/2023;102.02;-0.51%
8/7/2023;102.05;0.03%
8/8/2023;102.53;0.47%
8/9/2023;102.49;-0.04%
8/10/2023;102.52;0.03%
8/11/2023;102.84;0.31%
08/14/2023;103.19;0.34%
08/15/2023;103.21;0.02%
08/16/2023;103.43;0.22%
08/17/2023;103.57;0.14%
08/18/2023;103.38;-0.19%
08/21/2023;103.30;-0.07%
08/22/2023;103.56;0.25%
08/23/2023;103.42;-0.14%
08/24/2023;103.98;0.54%
08/25/2023;104.08;0.09%
08/28/2023;104.06;-0.02%
08/29/2023;103.53;-0.51%
08/30/2023;103.16;-0.36%
08/31/2023;103.62;0.45%
9/1/2023;104.24;0.60%
9/4/2023;104.24;0.00%
9/5/2023;104.81;0.55%
9/6/2023;104.86;0.05%
9/7/2023;105.06;0.19%
9/8/2023;105.09;0.03%
9/11/2023;104.57;-0.50%
9/12/2023;104.71;0.14%
09/13/2023;104.77;0.05%
09/14/2023;105.40;0.61%
09/15/2023;105.32;-0.08%
09/18/2023;105.20;-0.11%
09/19/2023;105.16;-0.04%
09/20/2023;105.12;-0.04%
09/21/2023;105.36;0.23%
09/22/2023;105.58;0.21%
09/25/2023;106.00;0.39%
09/26/2023;106.23;0.22%
09/27/2023;106.67;0.41%
09/28/2023;106.22;-0.41%
09/29/2023;106.22;0.00%
10/2/2023;106.90;0.64%
10/3/2023;107.00;0.09%
10/4/2023;106.80;-0.19%
10/5/2023;106.33;-0.44%
10/6/2023;106.04;-0.27%
10/9/2023;106.08;0.04%
10/10/2023;105.82;-0.24%
10/11/2023;105.82;0.00%
10/12/2023;106.60;0.74%
10/13/2023;106.65;0.05%
10/16/2023;106.24;-0.38%
10/17/2023;106.25;0.01%
10/18/2023;106.57;0.30%
10/19/2023;106.25;-0.29%
10/20/2023;106.16;-0.08%
10/23/2023;105.54;-0.59%
10/24/2023;106.27;0.70%
10/25/2023;106.53;0.24%
10/26/2023;106.60;0.07%
10/27/2023;106.56;-0.04%
10/30/2023;106.12;-0.41%
10/31/2023;106.66;0.51%
11/1/2023;106.88;0.21%
11/2/2023;106.12;-0.71%
11/3/2023;105.02;-1.04%
11/6/2023;105.21;0.18%
11/7/2023;105.54;0.31%
11/8/2023;105.59;0.05%
11/9/2023;105.91;0.30%
11/10/2023;105.86;-0.05%
11/13/2023;105.63;-0.22%
11/14/2023;104.05;-1.49%
11/15/2023;104.39;0.33%
11/16/2023;104.35;-0.04%
11/17/2023;103.92;-0.41%
11/20/2023;103.44;-0.46%
11/21/2023;103.57;0.12%
11/22/2023;103.92;0.34%
11/23/2023;103.77;-0.15%
11/24/2023;103.40;-0.35%
11/27/2023;103.20;-0.20%
11/28/2023;102.75;-0.44%
11/29/2023;102.76;0.02%
11/30/2023;103.50;0.71%
12/1/2023;103.27;-0.22%
12/4/2023;103.71;0.43%
12/5/2023;104.05;0.33%
12/6/2023;104.15;0.10%
12/7/2023;103.54;-0.59%
12/8/2023;104.01;0.45%
12/11/2023;104.10;0.08%
12/12/2023;103.86;-0.22%
12/13/2023;102.87;-0.96%
12/14/2023;101.96;-0.89%
12/15/2023;102.55;0.58%
12/18/2023;102.56;0.01%
12/19/2023;102.17;-0.38%
12/20/2023;102.41;0.24%
12/21/2023;101.84;-0.55%
12/22/2023;101.70;-0.14%
12/24/2023;101.71;0.01%
12/26/2023;101.47;-0.24%
12/27/2023;100.99;-0.47%
12/28/2023;101.23;0.24%
12/29/2023;101.33;0.10%
12/31/2023;101.38;0.05%
1/2/2024;102.20;0.81%
1/3/2024;102.49;0.29%
1/4/2024;102.42;-0.07%
1/5/2024;102.41;-0.01%
1/8/2024;102.21;-0.20%
1/9/2024;102.57;0.35%
1/10/2024;102.36;-0.20%
1/11/2024;102.29;-0.07%
1/12/2024;102.40;0.11%
01/15/2024;102.40;0.00%
01/16/2024;103.36;0.93%
01/17/2024;103.45;0.09%
01/18/2024;103.54;0.08%
01/19/2024;103.29;-0.24%
01/22/2024;103.33;0.04%
01/23/2024;103.62;0.28%
01/24/2024;103.24;-0.37%
01/25/2024;103.57;0.33%
01/26/2024;103.43;-0.14%
01/29/2024;103.61;0.17%
01/30/2024;103.40;-0.20%
01/31/2024;103.27;-0.12%
2/1/2024;103.05;-0.22%
2/2/2024;103.92;0.85%
2/5/2024;104.45;0.51%
2/6/2024;104.21;-0.23%
2/7/2024;104.06;-0.15%
2/8/2024;104.17;0.10%
2/9/2024;104.11;-0.05%
2/12/2024;104.17;0.06%
02/13/2024;104.96;0.76%
02/14/2024;104.72;-0.23%
02/15/2024;104.30;-0.41%
02/16/2024;104.30;0.00%
02/19/2024;104.29;0.00%
02/20/2024;104.08;-0.20%
02/21/2024;104.01;-0.07%
02/22/2024;103.96;-0.05%
02/23/2024;103.94;-0.02%
02/26/2024;103.83;-0.10%
02/27/2024;103.83;0.00%
02/28/2024;103.97;0.14%
02/29/2024;104.16;0.17%
3/1/2024;103.86;-0.28%
3/4/2024;103.83;-0.03%
3/5/2024;103.80;-0.03%
3/6/2024;103.37;-0.41%
3/7/2024;102.82;-0.53%
3/8/2024;102.71;-0.11%
3/11/2024;102.87;0.15%
3/12/2024;102.96;0.09%
03/13/2024;102.79;-0.16%
03/14/2024;103.36;0.56%
03/15/2024;103.43;0.07%
03/18/2024;103.59;0.16%
03/19/2024;103.84;0.24%
03/20/2024;103.41;-0.41%
03/21/2024;104.00;0.57%
03/22/2024;104.47;0.45%
03/25/2024;104.24;-0.23%
03/26/2024;104.29;0.06%
03/27/2024;104.35;0.05%
03/28/2024;104.55;0.19%
03/29/2024;104.55;0.00%
4/1/2024;105.02;0.45%
4/2/2024;104.82;-0.19%
4/3/2024;104.25;-0.54%
4/4/2024;104.12;-0.12%
4/5/2024;104.30;0.17%
4/8/2024;104.14;-0.15%
4/9/2024;104.15;0.01%
4/10/2024;105.25;1.05%
4/11/2024;105.28;0.04%
4/12/2024;106.04;0.72%
04/15/2024;106.21;0.16%
04/16/2024;106.26;0.05%
04/17/2024;105.95;-0.29%
04/18/2024;106.15;0.19%
04/19/2024;106.15;0.00%
04/22/2024;106.08;-0.07%
04/23/2024;105.68;-0.38%
04/24/2024;105.86;0.17%
04/25/2024;105.60;-0.24%
04/26/2024;105.94;0.32%
04/29/2024;105.58;-0.34%
04/30/2024;106.22;0.61%
5/1/2024;105.75;-0.44%
5/2/2024;105.30;-0.43%
5/3/2024;105.03;-0.26%
5/6/2024;105.05;0.02%
5/7/2024;105.41;0.34%
5/8/2024;105.55;0.13%
5/9/2024;105.23;-0.30%
5/10/2024;105.30;0.07%
05/13/2024;105.22;-0.08%
05/14/2024;105.01;-0.19%
05/15/2024;104.35;-0.64%
05/16/2024;104.46;0.11%
05/17/2024;104.44;-0.02%
05/20/2024;104.57;0.11%
05/21/2024;104.66;0.09%
05/22/2024;104.93;0.26%
05/23/2024;105.11;0.17%
05/24/2024;104.72;-0.37%
05/27/2024;104.60;-0.12%
05/28/2024;104.61;0.02%
05/29/2024;105.10;0.46%
05/30/2024;104.72;-0.36%
05/31/2024;104.67;-0.04%
6/3/2024;104.14;-0.51%
6/4/2024;104.11;-0.03%
6/5/2024;104.27;0.15%
6/6/2024;104.10;-0.16%
6/7/2024;104.89;0.75%
6/10/2024;105.15;0.25%
6/11/2024;105.23;0.08%
6/12/2024;104.64;-0.56%
06/13/2024;105.20;0.53%
06/14/2024;105.55;0.34%
06/17/2024;105.32;-0.22%
06/18/2024;105.26;-0.06%
06/19/2024;105.25;0.00%
06/20/2024;105.59;0.32%
06/21/2024;105.80;0.20%
06/24/2024;105.47;-0.31%
06/25/2024;105.61;0.13%
06/26/2024;106.05;0.42%
06/27/2024;105.91;-0.14%
06/28/2024;105.87;-0.04%
7/1/2024;105.90;0.03%
7/2/2024;105.72;-0.17%
7/3/2024;105.40;-0.30%
7/4/2024;105.13;-0.26%
7/5/2024;104.88;-0.24%
7/8/2024;105.00;0.12%
7/9/2024;105.13;0.12%
7/10/2024;105.05;-0.08%
7/11/2024;104.44;-0.58%
7/12/2024;104.09;-0.33%
07/15/2024;104.19;0.09%
07/16/2024;104.27;0.08%
07/17/2024;103.75;-0.50%
07/18/2024;104.17;0.41%
07/19/2024;104.40;0.21%
07/22/2024;104.31;-0.08%
07/23/2024;104.45;0.13%
07/24/2024;104.39;-0.06%
07/25/2024;104.36;-0.03%
07/26/2024;104.32;-0.04%
07/29/2024;104.56;0.24%
07/30/2024;104.55;-0.01%
07/31/2024;104.10;-0.44%
8/1/2024;104.42;0.31%
8/2/2024;103.21;-1.16%
8/5/2024;102.69;-0.50%
8/6/2024;102.97;0.27%
8/7/2024;103.20;0.22%
8/8/2024;103.21;0.01%
8/9/2024;103.14;-0.07%
8/12/2024;103.14;0.00%
08/13/2024;102.56;-0.56%
08/14/2024;102.57;0.01%
08/15/2024;102.98;0.40%
08/16/2024;102.46;-0.50%
08/19/2024;101.89;-0.56%
08/20/2024;101.44;-0.44%
08/21/2024;101.04;-0.40%
08/22/2024;101.51;0.46%
08/23/2024;100.72;-0.78%
08/26/2024;100.85;0.13%
08/27/2024;100.55;-0.30%
08/28/2024;101.09;0.54%
08/29/2024;101.34;0.25%
08/30/2024;101.70;0.35%
9/2/2024;101.65;-0.04%
9/3/2024;101.82;0.17%
9/4/2024;101.36;-0.46%
9/5/2024;101.11;-0.25%
9/6/2024;101.18;0.07%
9/9/2024;101.55;0.37%
9/10/2024;101.63;0.08%
9/11/2024;101.68;0.05%
9/12/2024;101.37;-0.31%
09/13/2024;101.11;-0.25%
09/16/2024;100.76;-0.35%
09/17/2024;100.89;0.13%
09/18/2024;100.60;-0.30%
09/19/2024;100.61;0.02%
09/20/2024;100.72;0.11%
09/23/2024;100.85;0.13%
09/24/2024;100.47;-0.38%
09/25/2024;100.91;0.44%
09/26/2024;100.52;-0.39%
09/27/2024;100.38;-0.14%
09/30/2024;100.78;0.40%
10/1/2024;101.19;0.41%
10/2/2024;101.68;0.48%
10/3/2024;101.99;0.31%
10/4/2024;102.52;0.52%
10/7/2024;102.54;0.02%
10/8/2024;102.55;0.01%
10/9/2024;102.93;0.37%
10/10/2024;102.99;0.06%
10/11/2024;102.89;-0.10%
10/14/2024;103.30;0.40%
10/15/2024;103.26;-0.04%
10/16/2024;103.59;0.32%
10/17/2024;103.82;0.23%
10/18/2024;103.49;-0.32%
10/21/2024;104.01;0.50%
10/22/2024;104.07;0.06%
10/23/2024;104.43;0.34%
10/24/2024;104.06;-0.36%
10/25/2024;104.26;0.19%
10/28/2024;104.32;0.06%
10/29/2024;104.32;0.00%
10/30/2024;103.99;-0.31%
10/31/2024;103.98;-0.02%
11/1/2024;104.28;0.29%
11/4/2024;103.89;-0.38%
11/5/2024;103.42;-0.44%
11/6/2024;105.09;1.61%
11/7/2024;104.51;-0.55%
11/8/2024;105.00;0.47%
11/11/2024;105.54;0.52%
11/12/2024;106.02;0.46%
11/13/2024;106.48;0.43%
11/14/2024;106.67;0.18%
11/15/2024;106.69;0.01%
11/18/2024;106.28;-0.39%
11/19/2024;106.21;-0.06%
11/20/2024;106.68;0.45%
11/21/2024;106.97;0.27%
11/22/2024;107.55;0.54%
11/25/2024;106.82;-0.69%
11/26/2024;107.01;0.18%
11/27/2024;106.08;-0.87%
11/28/2024;106.14;0.05%
11/29/2024;105.74;-0.38%
12/2/2024;106.45;0.67%
12/3/2024;106.36;-0.08%
12/4/2024;106.32;-0.04%
12/5/2024;105.71;-0.57%
12/6/2024;106.06;0.32%
12/9/2024;106.14;0.08%
12/10/2024;106.40;0.24%
12/11/2024;106.71;0.29%
12/12/2024;106.96;0.23%
12/13/2024;107.00;0.04%
12/16/2024;106.86;-0.14%
12/17/2024;106.96;0.09%
12/18/2024;108.03;1.00%
12/19/2024;108.41;0.35%
12/20/2024;107.62;-0.73%
12/23/2024;108.04;0.39%
12/24/2024;108.20;0.15%
12/26/2024;108.13;-0.07%
12/27/2024;108.00;-0.12%
12/30/2024;108.13;0.12%
12/31/2024;108.49;0.33%
1/2/2025;109.39;0.84%
1/3/2025;108.95;-0.40%
1/6/2025;108.26;-0.64%
1/7/2025;108.54;0.26%
1/8/2025;109.09;0.50%
1/9/2025;109.18;0.08%
1/10/2025;109.65;0.43%
01/13/2025;109.96;0.28%
01/14/2025;109.27;-0.62%
01/15/2025;109.09;-0.17%
01/16/2025;108.96;-0.12%
01/17/2025;109.35;0.36%
01/20/2025;109.35;0.00%
01/21/2025;108.06;-1.18%
01/22/2025;108.17;0.10%
01/23/2025;108.05;-0.11%
01/24/2025;107.44;-0.56%
01/27/2025;107.34;-0.09%
01/28/2025;107.87;0.49%
01/29/2025;108.00;0.12%
01/30/2025;107.80;-0.19%
01/31/2025;108.37;0.53%
2/3/2025;108.99;0.57%
2/4/2025;107.96;-0.95%
2/5/2025;107.58;-0.35%
2/6/2025;107.69;0.10%
2/7/2025;108.04;0.33%
2/10/2025;108.32;0.26%
2/11/2025;107.96;-0.33%
2/12/2025;107.94;-0.02%
02/13/2025;107.31;-0.58%
02/14/2025;106.71;-0.56%
02/17/2025;106.57;-0.13%
02/18/2025;107.05;0.45%
02/19/2025;107.17;0.11%
02/20/2025;106.37;-0.75%
02/21/2025;106.61;0.23%
02/24/2025;106.60;-0.02%
02/25/2025;106.31;-0.27%
02/26/2025;106.42;0.10%
02/27/2025;107.24;0.78%
02/28/2025;107.61;0.35%
3/3/2025;106.75;-0.81%
3/4/2025;105.74;-0.94%
3/5/2025;104.30;-1.36%
3/6/2025;104.06;-0.23%
3/7/2025;103.84;-0.22%
3/10/2025;103.97;0.13%
3/11/2025;103.29;-0.66%
3/12/2025;103.61;0.31%
03/13/2025;103.83;0.21%
03/14/2025;103.72;-0.11%
03/17/2025;103.37;-0.34%
03/18/2025;103.24;-0.12%
03/19/2025;103.43;0.18%
03/20/2025;103.85;0.41%
03/21/2025;104.09;0.23%
03/24/2025;104.26;0.17%
03/25/2025;104.18;-0.07%
03/26/2025;104.55;0.35%
03/27/2025;104.33;-0.20%
03/28/2025;104.04;-0.28%
03/31/2025;104.21;0.16%
4/1/2025;104.26;0.05%
